n.louvainGlobalComponentId,size(collect(n.wikiID)),collect(n.wikiID),collect(n.en)
526930,168,"[Q8473,Q233591,Q191244,Q43229,Q217199,Q176799,Q5962346,Q9053464,Q3455803,Q1004,Q6499736,Q170404,Q152596,Q39546,Q7275,Q161172,Q12748,Q131708,Q17537576,Q161928,Q22687,Q768186,Q25295,Q728,Q131569,Q81096,Q7725634,Q1065579,Q11639,Q978,Q18341850,Q2500638,Q128751,Q49848,Q39908,Q13716,Q7278,Q80042,Q245065,Q837171,Q8513,Q155076,Q47461344,Q783794,Q33311,Q12408,Q154124,Q186649,Q901,Q273057,Q161524,Q38130,Q190122,Q42848,Q123432,Q6501447,Q177646,Q43183,Q188506,Q189964,Q11012,Q200569,Q79751,Q193220,Q219577,Q40231,Q181043,Q18560095,Q181916,Q47883,Q35535,Q133442,Q181001,Q11028,Q36790,Q39825,Q277597,Q206637,Q40831,Q186131,Q190581,Q133492,Q180253,Q208034,Q190044,Q4233718,Q189539,Q13590141,Q317623,Q194166,Q16521,Q815823,Q483501,Q66344,Q772547,Q37507,Q878249,Q2160801,Q179899,Q1172284,Q5292,Q230823,Q2927074,Q429785,Q327055,Q1071,Q190193,Q3242115,Q482980,Q125977,Q49005,Q484652,Q656751,Q10870555,Q33838,Q157031,Q23834,Q183171,Q842438,Q223729,Q17451,Q180160,Q858810,Q277759,Q206577,Q31728,Q37038,Q478798,Q731988,Q185785,Q198763,Q119716,Q15808,Q76768,Q42889,Q278485,Q131408,Q33215,Q167037,Q107711,Q1444611,Q168552,Q163310,Q665319,Q188779,Q132041,Q1307214,Q12806,Q129373,Q33384,Q46952,Q399495,Q1476215,Q152910,Q221262,Q2081159,Q486748,Q81392,Q860918,Q669262,Q221836,Q171751,Q257716,Q188443,Q210947,Q183576,Q77852,Q170439]","[military,communist party,kleptocracy,organization,soundtrack,military unit,classification system,costume,director,comics,vocabulary,visa,pacifier,tool,state,ring,fossil fuel,plutocracy,creative work,footwear,bank,sports equipment,language family,weapon,treaty,engineer,literary work,costume accessory,dance,meme,mortar and pestle,creator,source code,document,trousers,brassiere,political party,cheque,intergovernmental organization,financial services,database,juridical person,written work,company,Dravidian,caliper,geography of Germany,curriculum vitae,scientist,discography,mask,League of Nations,promissory note,data,aristocracy,local government,subset,insurance,online banking,felt,robot,Dutch,oligarchy,hand fan,holding company,public election,dissident,winner,herbarium,playing card,police,city-state,erotica,information,Sumerian,census,geography of Ukraine,computer cluster,comedy,terrain,invoice,letter,fuel cell,business plan,technocracy,anonymous,loan,presenter,technical standard,consortium,taxon,business model,artist,central bank,armed forces,match,alliance,skirt,topological space,data set,encyclopedia,miniskirt,Internet meme,poster,worker,geography,International Society for Krishna Consciousness,revolutionary,author,vector space,curtain,international organization,topographic prominence,report,Niger–Congo,foundation,comb,toga,British people,white paper,typeface,metadata,big data,book series,proto-language,public administration,advertising,image,rolling chassis,ammunition,undergarment,geography of Europe,handcuffs,shirt,vehicle,hashtag,wedge,constructed language,corporation,firefighter,Night-watchman state,phallus,Turing machine,broadsheet,Norwegians,key,form of government,abacus,geography of the United Kingdom,dialect,organized crime,standard language,human rights activist,whip,Bunsen burner,seal,pianist,fractal,Esperantist,primary election,flash,banana republic,idiolect,micronation,factor of production,flywheel,spoiler,chord]"
1385549,107,"[Q3257809,Q47041,Q4112212,Q193566,Q128709,Q107715,Q155640,Q4593291,Q34770,Q39297,Q36253,Q173817,Q184550,Q189214,Q101038,Q30081,Q124274,Q161635,Q29539,Q11379,Q8805,Q179745,Q11652,Q105902,Q12725,Q937228,Q185836,Q28352,Q76250,Q193223,Q38994,Q104831,Q230967,Q170749,Q179043,Q1111,Q39552,Q177897,Q363948,Q4373292,Q211569,Q166530,Q37221,Q180241,Q183759,Q334631,Q8752,Q315,Q161064,Q170731,Q30006,Q11188,Q46276,Q81809,Q25358,Q484152,Q172881,Q718647,Q764285,Q25288,Q185957,Q41364,Q126017,Q193540,Q48103,Q1347367,Q108193,Q2979,Q845744,Q11402,Q193972,Q62932,Q133673,Q185387,Q11465,Q37640,Q11376,Q165618,Q11423,Q214518,Q1149626,Q309314,Q12485,Q184377,Q29485,Q13100823,Q3840065,Q11500,Q373160,Q3711325,Q104946,Q171407,Q428124,Q33831,Q179388,Q145623,Q174102,Q193760,Q690110,Q6583695,Q159190,Q215675,Q487005,Q22856,Q368988,Q17122834,Q23809]","[purple,biodiversity,orbital inclination,incubation period,viscosity,physical quantity,potential energy,electrical conductivity,language,volume,length,radius,mechanical energy,tempo,albedo,multilingualism,azimuth,angular velocity,density,energy,bit,axial tilt,frequency,luminosity,electricity,property,age of a person,magnetic permeability,redshift,proper motion,Human Development Index,luminous intensity,parity,surface tension,impedance,electric charge,pressure,inductance,contradiction,physical property,permittivity,escape velocity,diameter,internal energy,piezoelectricity,Gibbs free energy,Basque,language,enthalpy,solubility,gravitational acceleration,world population,kinetic energy,atmospheric pressure,electrical resistance,oxidation number,centripetal force,angular diameter,chemical property,weight,quality,wavelength,distance,focal length,torque,aptitude,electrical resistivity,liberty,static electricity,force,electric reactance,elasticity,spin,suffrage,velocity,orbital period,acceleration,moment of inertia,mass,admittance,written language,quantity,symmetry,pronunciation,error,quality of life,atomic mass,area,sky blue,speed,amount of substance,valence,violet,pidgin,heat capacity,molar mass,refractive index,polarization,color depth,thermal expansion,amplitude,quantum entanglement,thermal conductivity,population density,idempotence,blue,atomic number]"
1399119,97,"[Q188655,Q193529,Q9103,Q54196,Q211050,Q10990,Q4620674,Q37187,Q9644,Q499,Q48422,Q172563,Q712378,Q65979,Q40397,Q221694,Q101896,Q9631,Q7364,Q79749,Q173318,Q12969754,Q183319,Q81025,Q16399,Q11090,Q19035,Q11421,Q7895,Q9649,Q170486,Q9371,Q169953,Q27911,Q131419,Q9654,Q7881,Q28472,Q4262,Q9639,Q23640,Q127995,Q42165,Q23852,Q9614,Q320561,Q129104,Q41301,Q25615,Q11388,Q9609,Q497,Q11101,Q206918,Q898218,Q9655,Q666412,Q174471,Q192746,Q712604,Q110084,Q170494,Q192593,Q36458,Q192457,Q17172850,Q9647,Q168002,Q197204,Q864693,Q9612,Q192628,Q7868,Q193583,Q7886,Q134955,Q546523,Q43801,Q101004,Q957434,Q134938,Q16332,Q40924,Q133139,Q191768,Q1029907,Q79899,Q170145,Q217259,Q180569,Q42804,Q11078,Q331858,Q156871,Q655904,Q9633,Q1074]","[salami,T-lymphocytes,breast,cerebrospinal fluid,gamete,meat,sex organ,red blood cell,joint,armpit,cadaver,belly cord,organ,bile,tissue,blood–brain barrier,gonorrhea,ovary,eye,blood plasma,pupil,electromagnetic radiation,tuber,feather,thyroid gland,small intestine,cloaca,magnet,reproductive system,human digestive system,ham,spleen,peripheral nervous system,bass,sausage,thoracic diaphragm,skeleton,hair,radio wave,intestine,head,microwave,buttocks,human body,tongue,Eustachian tube,anthrax,epithelium,connective tissue,infrared radiation,vein,anus,sensory system,Moussaka,renin–angiotensin system,artery,cervix,scrotum,colostrum,lymphatic system,blood serum,body,thermal radiation,multicellular organism,Cherenkov radiation,voice,gland,ankle,fur,chicken meat,uterus,beef,cell,adipose tissue,lung,duodenum,bone marrow,navel,aorta,veal,salivary gland,hyoid bone,urine,electromagnetic spectrum,pork meat,stomach,cytoplasm,zygote,seminal vesicula,tonsil,beard,endocrine system,endoderm,pituitary gland,bremsstrahlung,neck,skin]"
206546,86,"[Q2736,Q42486,Q5367,Q178131,Q61065,Q8418,Q7128792,Q5386,Q189472,Q5378,Q5375,Q36908,Q206989,Q349,Q171038,Q221635,Q177275,Q36389,Q193434,Q11422,Q459459,Q124100,Q535116,Q179132,Q108429,Q11410,Q10980,Q130949,Q1293,Q50776,Q877517,Q624161,Q7707,Q280658,Q814517,Q216048,Q189317,Q3930,Q136851,Q3341285,Q878123,Q5369,Q204686,Q11413,Q180692,Q131471,Q134211,Q15117302,Q133201,Q184940,Q102843,Q166788,Q160738,Q11420,Q4543,Q159992,Q31920,Q80131,Q11015,Q273285,Q186222,Q11411,Q842284,Q5377,Q12299841,Q1734,Q192851,Q185851,Q718,Q300920,Q5372,Q847,Q7291,Q193210,Q186190,Q131436,Q192520,Q189409,Q44914,Q328716,Q210778,Q190975,Q193387,Q178380,Q473719,Q11419]","[association football,wrestling,motorsport,snowboarding,water sport,handball,combat sport,auto racing,freestyle skiing,rugby,cricket,mountaineering,shooting sport,sport,softball,track cycling,bobsleigh,taekwondo,waltz,toy,UEFA Women's Championship,bodybuilding,beach handball,speleology,archery,game,triathlon,skiing,draughts,Australian rules football,ball game,gliding,water polo,forward,disabled sport,team sport,petanque,table tennis,curling,cue sports,racing,baseball,winter sport,go,synchronized swimming,darts,polo,volleyball player,squash,bullfighting,tug of war,biathlon,role-playing game,judo,beach volleyball,surfing,swimming,poker,snooker,luge,alpine skiing,backgammon,skateboarding,golf,cricketer,volleyball,arcade video game machine,lacrosse,chess,esports,basketball,tennis,badminton,skydiving,skeleton,board game,sailing,lottery,sudoku,motorcycle sport,beach soccer,Roulette,croquet,paragliding,dodgeball,karate]"
1387925,86,"[Q36180,Q1259917,Q488205,Q4773904,Q154549,Q333634,Q455595,Q2526255,Q822146,Q185351,Q166382,Q36834,Q242468,Q191356,Q19643,Q131572,Q170305,Q3387717,Q203494,Q1058617,Q6625963,Q42909,Q180095,Q181634,Q132050,Q82955,Q214917,Q319604,Q160894,Q2986228,Q49757,Q2306091,Q674426,Q2462658,Q82594,Q177220,Q6266,Q201788,Q28389,Q2088357,Q186370,Q4853732,Q1294787,Q179248,Q2259451,Q11063,Q864503,Q350979,Q1709010,Q2732142,Q13381863,Q4964182,Q169470,Q205375,Q140686,Q181888,Q6337803,Q842782,Q16004431,Q270389,Q373085,Q1642960,Q184951,Q43292,Q30103,Q15980158,Q42406,Q12144794,Q237534,Q3578589,Q599151,Q184299,Q121842,Q130857,Q1086863,Q189010,Q12826225,Q485150,Q216565,Q156839,Q178630,Q170790,Q8246794,Q2374149,Q520549,Q188353]","[writer,violinist,singer-songwriter,anthropologist,carpenter,translator,amateur,film director,lyricist,jurist,emir,composer,tailor,Icelanders,queen regnant,refugee,satrap,theatrical director,caravan,private investigator,novelist,reporter,tyrant,Scottish people,governor,politician,playwright,passenger,Spaniards,sports commentator,poet,sociologist,curator,manager,computer scientist,singer,nation,historian,screenwriter,musical ensemble,troubadour,children's writer,artisan,Albanians,stage actor,astronomer,biologist,zoologist,software engineer,statistician,fencer,philosopher,physicist,inventor,chairperson,Khan,neuroscientist,detective,competitive diver,news presenter,chancellor,pundit,pasha,Sultan,minority group,non-fiction writer,English people,prosaist,Austrians,environmentalist,official,Shah,French,disc jockey,columnist,notary,Lord,Romanians,People of the Book,cook,Portuguese,mathematician,blogger,botanist,geologist,Welsh people]"
1387887,82,"[Q752870,Q186713,Q1454986,Q273005,Q6671777,Q194120,Q102836,Q52948,Q178706,Q12271,Q20702,Q108149,Q527395,Q11019,Q25276,Q211606,Q159810,Q134313,Q895901,Q190157,Q58778,Q3913,Q2715623,Q131214,Q38918,Q172137,Q853614,Q3270143,Q34493,Q1420,Q241317,Q41710,Q178841,Q83328,Q121359,Q200885,Q194189,Q13629441,Q38867,Q205702,Q6497460,Q185187,Q41291,Q601401,Q44167,Q231002,Q3679502,Q104934,Q189970,Q190686,Q47604,Q58803,Q28108,Q49845,Q11418,Q268592,Q986008,Q188619,Q959962,Q179918,Q849919,Q483453,Q185092,Q103639,Q12493,Q82580,Q47140,Q188485,Q181947,Q473227,Q483639,Q44377,Q170463,Q170477,Q175561,Q497743,Q12323,Q386272,Q11315,Q191675,Q193158,Q192624]","[motor vehicle,simple machine,physical system,economic system,structure,photoresistor,spring,interaction,institution,architecture,pendulum,nuclide,knot,machine,isotope,social structure,economy,barbarian,crystal structure,transmitter,system,binary numeral system,social network,antenna,Roman numerals,Lorentz force,identifier,Hertzsprung–Russell diagram,motorcycle,motor car,computing platform,ethnic group,Foucault pendulum,Turkic peoples,infrastructure,Yazidis,sale,electric vehicle,laser,ion thruster,gearbox,watermill,rocket,trade,engine,nationality,piping,fundamental interaction,social status,subroutine,MS-DOS,solar cell,political system,mail,weak interaction,industry,payment system,hierarchy,diagram,permafrost,electromagnetic interaction,fountain,flowchart,oligopoly,dome,friction,Brahmin caste,fair trade,crossbow,cubic crystal system,cloud computing,tunnel,apse,chimney,microelectromechanical systems,circular economy,dam,Feynman diagram,shopping center,mixed economy,chernozem,metre]"
1405189,71,"[Q187440,Q152234,Q160184,Q107231,Q105000,Q3505845,Q178069,Q25257,Q168805,Q483247,Q272002,Q4590598,Q2857578,Q169872,Q81938,Q133244,Q83301,Q8094,Q169994,Q853725,Q3839081,Q621184,Q1052,Q141118,Q179630,Q127076,Q131562,Q38933,Q131327,Q166019,Q229256,Q10294,Q170082,Q42967,Q101991,Q192120,Q186889,Q166231,Q159557,Q81054,Q185245,Q193078,Q191778,Q18621601,Q213092,Q3,Q205972,Q191031,Q10656,Q11663,Q185565,Q1931388,Q82642,Q124131,Q170518,Q12167,Q33741,Q10686316,Q738538,Q7087,Q35830,Q178436,Q474187,Q376644,Q6582994,Q41171,Q275459,Q205663,Q103350,Q131136,Q223907]","[urticaria,edema,flatulence,paralysis,meteor shower,state,necrosis,precipitation,gangrene,phenomenon,foodborne illness,frost,thunderstorm,symptom,pain,jaundice,thunder,wind,smog,social relation,disaster,problem,rainbow,Permian-Triassic extinction event,syndrome,vomiting,fair use,fever,homelessness,bleeding,dermatitis,poverty,psychosis,monsoon,inflammation,cyanosis,nausea,infection,coma,storm,stagflation,injury,celibacy,intoxication,thread,life,intoxication,ochlocracy,Hall effect,weather,hyperinflation,cause of death,blood pressure,superconductivity,burn,malnutrition,lightning,vertigo,tic,consciousness,sneeze,constipation,thirst,invisible hand,sunspot,unemployment,radiation syndrome,process,serfdom,meteor,tremor]"
271065,61,"[Q131165,Q488383,Q49773,Q164359,Q1712140,Q1124860,Q9232,Q620629,Q179807,Q9174,Q494348,Q44539,Q191591,Q32090,Q7184903,Q43004,Q639669,Q5780945,Q270141,Q240126,Q216920,Q9081,Q16502,Q39689,Q183308,Q127933,Q167172,Q381243,Q179366,Q179742,Q152478,Q3769299,Q450,Q742736,Q83500,Q13414953,Q9149,Q18237,Q44311,Q1189816,Q178934,Q138796,Q5393308,Q11042,Q484416,Q623184,Q337547,Q199451,Q483677,Q28877,Q133182,Q583269,Q174923,Q47043,Q1299714,Q799,Q172331,Q207449,Q754479,Q131130,Q215536]","[Manichaeism,object,social movement,experience,revenge,donation,Jainism,deism,asceticism,religion,cyberbullying,temple,emotional intelligence,lifestyle,abstract object,animism,musician,suffering,polymath,bullying,secularism,knowledge,world,alchemy,New Age,firework,stereotype,special effects,boycott,prejudice,sponsor,human behavior,mind,bias,intelligence,religious denomination,fundamentalism,instinct,jihad,ethnic religion,occultism,resistance movement,Buddhist temple,culture,caste,deviance,ancient Roman religion,pagoda,pseudoscience,goods,superstition,tarot,optical illusion,Rubik's Cube,habit,wisdom,liturgy,division of labour,nonviolent resistance,anaesthesia,merchant]"
569465,59,"[Q556,Q18216,Q11427,Q13226383,Q19600,Q184832,Q19577,Q1621273,Q47512,Q127900,Q208118,Q177998,Q151055,Q11460,Q650,Q623,Q43616,Q69488,Q11344,Q410572,Q8205328,Q35872,Q162867,Q54389,Q223557,Q169917,Q178026,Q670,Q5283,Q407473,Q999,Q183206,Q139857,Q193970,Q105789,Q159683,Q25381,Q187616,Q19596,Q46344,Q207722,Q125191,Q1896,Q161233,Q143874,Q28917,Q59817493,Q207977,Q256602,Q618,Q179724,Q256502,Q177013,Q40218,Q674,Q32815,Q2346039,Q40171,Q40614]","[hydrogen,aspirin,steel,facility,nonmetal,oxalic acid,actinide,particle,acetic acid,β-lactose,psilocybin,agar,Denisova hominin,clothing,fluorine,carbon,mummy,MDMA,chemical element,silane,artificial physical object,boat,nitroglycerin,tritium,physical object,graphene,fullerene,silicon,diamond,ethylene oxide,astatine,vitamin B,fumaric acid,casein,heavy metal,citric acid,amber,relic,metalloid,quantum,pyrimidine,photograph,fermium,formic acid,nitrocellulose,styrene,ribose,prototype,ciprofloxacin,boron,naphthalene,alpha-linolenic acid,subatomic particle,spacecraft,phosphorus,mosque,Thunnus,Neanderthal,fossil]"
588355,57,"[Q6915,Q1914636,Q210603,Q58734,Q215028,Q83058,Q15324,Q2761147,Q207315,Q25322,Q161837,Q1096872,Q8148,Q191797,Q8609,Q14827288,Q46855,Q199655,Q1150070,Q625994,Q1527264,Q142804,Q170584,Q1067164,Q5401,Q199657,Q1656682,Q178512,Q1161355,Q207652,Q319622,Q381072,Q159964,Q216227,Q238053,Q170774,Q175331,Q82604,Q288514,Q243606,Q206021,Q173799,Q215768,Q166620,Q749457,Q189833,Q45635,Q49385,Q189443,Q837721,Q1412403,Q325980,Q207520,Q929771,Q188863,Q219566,Q182020]","[magnetosphere,activity,extradition,pollution,peer review,electronic spam,body of water,meeting,cremation,Arctic,public service,Digital Revolution,industrial sector,aggression,hypnosis,Wikimedia Foundation project,hackathon,library science,change,convention,income,aerial refueling,project,transport route,Eurasia,reading,event,public transport,fundraising,chemical industry,saving,crisis,typography,state of emergency,collision,miracle,demonstration,design,fair,industrial design,flight,entertainment,mass production,drainage basin,product placement,economic growth,casus belli,solar cycle,Multimedia Messaging Service,typesetting,commuter rail,coercion,region of Japan,skeptics' movement,exile,near death experience,extra-vehicular activity]"
